AgeRange,Age,PassengerId,Name,Sex,Pclass,Survived
18-29,22.0,1,"Braund, Mr. Owen Harris",male,3,0
30-44,38.0,2,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,1,1
18-29,26.0,3,"Heikkinen, Miss. Laina",female,3,1
30-44,35.0,4,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,1,1
30-44,35.0,5,"Allen, Mr. William Henry",male,3,0
30-44,33.2,6,"Moran, Mr. James",male,3,0
45-59,54.0,7,"McCarthy, Mr. Timothy J",male,1,0
0-17,2.0,8,"Palsson, Master. Gosta Leonard",male,3,0
18-29,27.0,9,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,3,1
0-17,14.0,10,"Nasser, Mrs. Nicholas (Adele Achem)",female,2,1
0-17,4.0,11,"Sandstrom, Miss. Marguerite Rut",female,3,1
45-59,58.0,12,"Bonnell, Miss. Elizabeth",female,1,1
18-29,20.0,13,"Saundercock, Mr. William Henry",male,3,0
30-44,39.0,14,"Andersson, Mr. Anders Johan",male,3,0
0-17,14.0,15,"Vestrom, Miss. Hulda Amanda Adolfina",female,3,0
45-59,55.0,16,"Hewlett, Mrs. (Mary D Kingcome) ",female,2,1
0-17,2.0,17,"Rice, Master. Eugene",male,3,0
30-44,33.2,18,"Williams, Mr. Charles Eugene",male,2,1
30-44,31.0,19,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,3,0
30-44,33.2,20,"Masselmani, Mrs. Fatima",female,3,1
30-44,35.0,21,"Fynney, Mr. Joseph J",male,2,0
30-44,34.0,22,"Beesley, Mr. Lawrence",male,2,1
0-17,15.0,23,"McGowan, Miss. Anna ""Annie""",female,3,1
18-29,28.0,24,"Sloper, Mr. William Thompson",male,1,1
0-17,8.0,25,"Palsson, Miss. Torborg Danira",female,3,0
30-44,38.0,26,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,3,1
30-44,33.2,27,"Emir, Mr. Farred Chehab",male,3,0
18-29,19.0,28,"Fortune, Mr. Charles Alexander",male,1,0
30-44,33.2,29,"O'Dwyer, Miss. Ellen ""Nellie""",female,3,1
30-44,33.2,30,"Todoroff, Mr. Lalio",male,3,0
30-44,40.0,31,"Uruchurtu, Don. Manuel E",male,1,0
30-44,33.2,32,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,1,1
30-44,33.2,33,"Glynn, Miss. Mary Agatha",female,3,1
60+,66.0,34,"Wheadon, Mr. Edward H",male,2,0
18-29,28.0,35,"Meyer, Mr. Edgar Joseph",male,1,0
30-44,42.0,36,"Holverson, Mr. Alexander Oskar",male,1,0
30-44,33.2,37,"Mamee, Mr. Hanna",male,3,1
18-29,21.0,38,"Cann, Mr. Ernest Charles",male,3,0
18-29,18.0,39,"Vander Planke, Miss. Augusta Maria",female,3,0
0-17,14.0,40,"Nicola-Yarred, Miss. Jamila",female,3,1
30-44,40.0,41,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,3,0
18-29,27.0,42,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,2,0
30-44,33.2,43,"Kraeff, Mr. Theodor",male,3,0
0-17,3.0,44,"Laroche, Miss. Simonne Marie Anne Andree",female,2,1
18-29,19.0,45,"Devaney, Miss. Margaret Delia",female,3,1
30-44,33.2,46,"Rogers, Mr. William John",male,3,0
30-44,33.2,47,"Lennon, Mr. Denis",male,3,0
30-44,33.2,48,"O'Driscoll, Miss. Bridget",female,3,1
30-44,33.2,49,"Samaan, Mr. Youssef",male,3,0
18-29,18.0,50,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,3,0
0-17,7.0,51,"Panula, Master. Juha Niilo",male,3,0
18-29,21.0,52,"Nosworthy, Mr. Richard Cater",male,3,0
45-59,49.0,53,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,1,1
18-29,29.0,54,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,2,1
60+,65.0,55,"Ostby, Mr. Engelhart Cornelius",male,1,0
30-44,33.2,56,"Woolner, Mr. Hugh",male,1,1
18-29,21.0,57,"Rugg, Miss. Emily",female,2,1
18-29,28.5,58,"Novel, Mr. Mansouer",male,3,0
0-17,5.0,59,"West, Miss. Constance Mirium",female,2,1
0-17,11.0,60,"Goodwin, Master. William Frederick",male,3,0
18-29,22.0,61,"Sirayanian, Mr. Orsen",male,3,0
30-44,38.0,62,"Icard, Miss. Amelie",female,1,1
45-59,45.0,63,"Harris, Mr. Henry Birkhardt",male,1,0
0-17,4.0,64,"Skoog, Master. Harald",male,3,0
30-44,33.2,65,"Stewart, Mr. Albert A",male,1,0
30-44,33.2,66,"Moubarek, Master. Gerios",male,3,1
18-29,29.0,67,"Nye, Mrs. (Elizabeth Ramell)",female,2,1
18-29,19.0,68,"Crease, Mr. Ernest James",male,3,0
0-17,17.0,69,"Andersson, Miss. Erna Alexandra",female,3,1
18-29,26.0,70,"Kink, Mr. Vincenz",male,3,0
30-44,32.0,71,"Jenkin, Mr. Stephen Curnow",male,2,0
0-17,16.0,72,"Goodwin, Miss. Lillian Amy",female,3,0
18-29,21.0,73,"Hood, Mr. Ambrose Jr",male,2,0
18-29,26.0,74,"Chronopoulos, Mr. Apostolos",male,3,0
30-44,32.0,75,"Bing, Mr. Lee",male,3,1
18-29,25.0,76,"Moen, Mr. Sigurd Hansen",male,3,0
30-44,33.2,77,"Staneff, Mr. Ivan",male,3,0
30-44,33.2,78,"Moutal, Mr. Rahamin Haim",male,3,0
0-17,0.83,79,"Caldwell, Master. Alden Gates",male,2,1
