Embarked,Survived,PassengerId,Name,Pclass,Sex,Age
S,0,1,"Braund, Mr. Owen Harris",3,male,22.0
C,1,2,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",1,female,38.0
S,1,3,"Heikkinen, Miss. Laina",3,female,26.0
S,1,4,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",1,female,35.0
S,0,5,"Allen, Mr. William Henry",3,male,35.0
Q,0,6,"Moran, Mr. James",3,male,33.2
S,0,7,"McCarthy, Mr. Timothy J",1,male,54.0
S,0,8,"Palsson, Master. Gosta Leonard",3,male,2.0
S,1,9,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",3,female,27.0
C,1,10,"Nasser, Mrs. Nicholas (Adele Achem)",2,female,14.0
S,1,11,"Sandstrom, Miss. Marguerite Rut",3,female,4.0
S,1,12,"Bonnell, Miss. Elizabeth",1,female,58.0
S,0,13,"Saundercock, Mr. William Henry",3,male,20.0
S,0,14,"Andersson, Mr. Anders Johan",3,male,39.0
S,0,15,"Vestrom, Miss. Hulda Amanda Adolfina",3,female,14.0
S,1,16,"Hewlett, Mrs. (Mary D Kingcome) ",2,female,55.0
Q,0,17,"Rice, Master. Eugene",3,male,2.0
S,1,18,"Williams, Mr. Charles Eugene",2,male,33.2
S,0,19,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",3,female,31.0
C,1,20,"Masselmani, Mrs. Fatima",3,female,33.2
S,0,21,"Fynney, Mr. Joseph J",2,male,35.0
S,1,22,"Beesley, Mr. Lawrence",2,male,34.0
Q,1,23,"McGowan, Miss. Anna ""Annie""",3,female,15.0
S,1,24,"Sloper, Mr. William Thompson",1,male,28.0
S,0,25,"Palsson, Miss. Torborg Danira",3,female,8.0
S,1,26,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",3,female,38.0
C,0,27,"Emir, Mr. Farred Chehab",3,male,33.2
S,0,28,"Fortune, Mr. Charles Alexander",1,male,19.0
Q,1,29,"O'Dwyer, Miss. Ellen ""Nellie""",3,female,33.2
S,0,30,"Todoroff, Mr. Lalio",3,male,33.2
C,0,31,"Uruchurtu, Don. Manuel E",1,male,40.0
C,1,32,"Spencer, Mrs. William Augustus (Marie Eugenie)",1,female,33.2
Q,1,33,"Glynn, Miss. Mary Agatha",3,female,33.2
S,0,34,"Wheadon, Mr. Edward H",2,male,66.0
C,0,35,"Meyer, Mr. Edgar Joseph",1,male,28.0
