PassengerId,Pclass,Survived,Name,Sex,Age
1,3,0,"Braund, Mr. Owen Harris",male,22.0
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0
3,3,1,"Heikkinen, Miss. Laina",female,26.0
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0
5,3,0,"Allen, Mr. William Henry",male,35.0
6,3,0,"Moran, Mr. James",male,33.2
7,1,0,"McCarthy, Mr. Timothy J",male,54.0
8,3,0,"Palsson, Master. Gosta Leonard",male,2.0
9,3,1,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0
10,2,1,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0
11,3,1,"Sandstrom, Miss. Marguerite Rut",female,4.0
12,1,1,"Bonnell, Miss. Elizabeth",female,58.0
13,3,0,"Saundercock, Mr. William Henry",male,20.0
14,3,0,"Andersson, Mr. Anders Johan",male,39.0
15,3,0,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.0
16,2,1,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0
17,3,0,"Rice, Master. Eugene",male,2.0
18,2,1,"Williams, Mr. Charles Eugene",male,33.2
19,3,0,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.0
20,3,1,"Masselmani, Mrs. Fatima",female,33.2
21,2,0,"Fynney, Mr. Joseph J",male,35.0
22,2,1,"Beesley, Mr. Lawrence",male,34.0
23,3,1,"McGowan, Miss. Anna ""Annie""",female,15.0
24,1,1,"Sloper, Mr. William Thompson",male,28.0
25,3,0,"Palsson, Miss. Torborg Danira",female,8.0
26,3,1,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0
27,3,0,"Emir, Mr. Farred Chehab",male,33.2
28,1,0,"Fortune, Mr. Charles Alexander",male,19.0
29,3,1,"O'Dwyer, Miss. Ellen ""Nellie""",female,33.2
30,3,0,"Todoroff, Mr. Lalio",male,33.2
31,1,0,"Uruchurtu, Don. Manuel E",male,40.0
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,33.2
33,3,1,"Glynn, Miss. Mary Agatha",female,33.2
34,2,0,"Wheadon, Mr. Edward H",male,66.0
35,1,0,"Meyer, Mr. Edgar Joseph",male,28.0
36,1,0,"Holverson, Mr. Alexander Oskar",male,42.0
37,3,1,"Mamee, Mr. Hanna",male,33.2
38,3,0,"Cann, Mr. Ernest Charles",male,21.0
39,3,0,"Vander Planke, Miss. Augusta Maria",female,18.0
40,3,1,"Nicola-Yarred, Miss. Jamila",female,14.0
41,3,0,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.0
42,2,0,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0
43,3,0,"Kraeff, Mr. Theodor",male,33.2
44,2,1,"Laroche, Miss. Simonne Marie Anne Andree",female,3.0
45,3,1,"Devaney, Miss. Margaret Delia",female,19.0
46,3,0,"Rogers, Mr. William John",male,33.2
47,3,0,"Lennon, Mr. Denis",male,33.2
48,3,1,"O'Driscoll, Miss. Bridget",female,33.2
49,3,0,"Samaan, Mr. Youssef",male,33.2
50,3,0,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.0
51,3,0,"Panula, Master. Juha Niilo",male,7.0
52,3,0,"Nosworthy, Mr. Richard Cater",male,21.0
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0
54,2,1,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29.0
