Pclass,Sex,Survived,PassengerId,Name,Age
3,male,0,1,"Braund, Mr. Owen Harris",22.0
1,female,1,2,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",38.0
3,female,1,3,"Heikkinen, Miss. Laina",26.0
1,female,1,4,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",35.0
3,male,0,5,"Allen, Mr. William Henry",35.0
3,male,0,6,"Moran, Mr. James",33.2
1,male,0,7,"McCarthy, Mr. Timothy J",54.0
3,male,0,8,"Palsson, Master. Gosta Leonard",2.0
3,female,1,9,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",27.0
2,female,1,10,"Nasser, Mrs. Nicholas (Adele Achem)",14.0
3,female,1,11,"Sandstrom, Miss. Marguerite Rut",4.0
1,female,1,12,"Bonnell, Miss. Elizabeth",58.0
3,male,0,13,"Saundercock, Mr. William Henry",20.0
3,male,0,14,"Andersson, Mr. Anders Johan",39.0
3,female,0,15,"Vestrom, Miss. Hulda Amanda Adolfina",14.0
2,female,1,16,"Hewlett, Mrs. (Mary D Kingcome) ",55.0
3,male,0,17,"Rice, Master. Eugene",2.0
2,male,1,18,"Williams, Mr. Charles Eugene",33.2
3,female,0,19,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",31.0
3,female,1,20,"Masselmani, Mrs. Fatima",33.2
2,male,0,21,"Fynney, Mr. Joseph J",35.0
2,male,1,22,"Beesley, Mr. Lawrence",34.0
3,female,1,23,"McGowan, Miss. Anna ""Annie""",15.0
1,male,1,24,"Sloper, Mr. William Thompson",28.0
3,female,0,25,"Palsson, Miss. Torborg Danira",8.0
3,female,1,26,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",38.0
3,male,0,27,"Emir, Mr. Farred Chehab",33.2
1,male,0,28,"Fortune, Mr. Charles Alexander",19.0
3,female,1,29,"O'Dwyer, Miss. Ellen ""Nellie""",33.2
3,male,0,30,"Todoroff, Mr. Lalio",33.2
1,male,0,31,"Uruchurtu, Don. Manuel E",40.0
1,female,1,32,"Spencer, Mrs. William Augustus (Marie Eugenie)",33.2
