PassengerId,Name,Sex,Age,SibSp,Parch
1,"Braund, Mr. Owen Harris",male,22,1,0
2,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38,1,0
3,"Heikkinen, Miss. Laina",female,26,0,0
4,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35,1,0
5,"Allen, Mr. William Henry",male,35,0,0
6,"Moran, Mr. James",male,,0,0
7,"McCarthy, Mr. Timothy J",male,54,0,0
8,"Palsson, Master. Gosta Leonard",male,2,3,1
9,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27,0,2
10,"Nasser, Mrs. Nicholas (Adele Achem)",female,14,1,0
11,"Sandstrom, Miss. Marguerite Rut",female,4,1,1
12,"Bonnell, Miss. Elizabeth",female,58,0,0
13,"Saundercock, Mr. William Henry",male,20,0,0
14,"Andersson, Mr. Anders Johan",male,39,1,5
15,"Vestrom, Miss. Hulda Amanda Adolfina",female,14,0,0
16,"Hewlett, Mrs. (Mary D Kingcome) ",female,55,0,0
17,"Rice, Master. Eugene",male,2,4,1
18,"Williams, Mr. Charles Eugene",male,,0,0
19,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31,1,0
20,"Masselmani, Mrs. Fatima",female,,0,0
21,"Fynney, Mr. Joseph J",male,35,0,0
22,"Beesley, Mr. Lawrence",male,34,0,0
23,"McGowan, Miss. Anna ""Annie""",female,15,0,0
24,"Sloper, Mr. William Thompson",male,28,0,0
25,"Palsson, Miss. Torborg Danira",female,8,3,1
26,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38,1,5
27,"Emir, Mr. Farred Chehab",male,,0,0
28,"Fortune, Mr. Charles Alexander",male,19,3,2
29,"O'Dwyer, Miss. Ellen ""Nellie""",female,,0,0
30,"Todoroff, Mr. Lalio",male,,0,0
31,"Uruchurtu, Don. Manuel E",male,40,0,0
32,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,,1,0
33,"Glynn, Miss. Mary Agatha",female,,0,0
34,"Wheadon, Mr. Edward H",male,66,0,0
35,"Meyer, Mr. Edgar Joseph",male,28,1,0
36,"Holverson, Mr. Alexander Oskar",male,42,1,0
37,"Mamee, Mr. Hanna",male,,0,0
38,"Cann, Mr. Ernest Charles",male,21,0,0
39,"Vander Planke, Miss. Augusta Maria",female,18,2,0
40,"Nicola-Yarred, Miss. Jamila",female,14,1,0
41,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40,1,0
42,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27,1,0
43,"Kraeff, Mr. Theodor",male,,0,0
44,"Laroche, Miss. Simonne Marie Anne Andree",female,3,1,2
45,"Devaney, Miss. Margaret Delia",female,19,0,0
46,"Rogers, Mr. William John",male,,0,0
47,"Lennon, Mr. Denis",male,,1,0
48,"O'Driscoll, Miss. Bridget",female,,0,0
49,"Samaan, Mr. Youssef",male,,2,0
50,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18,1,0
51,"Panula, Master. Juha Niilo",male,7,4,1
52,"Nosworthy, Mr. Richard Cater",male,21,0,0
53,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49,1,0
54,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29,1,0
55,"Ostby, Mr. Engelhart Cornelius",male,65,0,1
56,"Woolner, Mr. Hugh",male,,0,0
57,"Rugg, Miss. Emily",female,21,0,0
58,"Novel, Mr. Mansouer",male,28.5,0,0
59,"West, Miss. Constance Mirium",female,5,1,2
60,"Goodwin, Master. William Frederick",male,11,5,2
61,"Sirayanian, Mr. Orsen",male,22,0,0
62,"Icard, Miss. Amelie",female,38,0,0
63,"Harris, Mr. Henry Birkhardt",male,45,1,0
64,"Skoog, Master. Harald",male,4,3,2
65,"Stewart, Mr. Albert A",male,,0,0
66,"Moubarek, Master. Gerios",male,,1,1
67,"Nye, Mrs. (Elizabeth Ramell)",female,29,0,0
68,"Crease, Mr. Ernest James",male,19,0,0
69,"Andersson, Miss. Erna Alexandra",female,17,4,2
70,"Kink, Mr. Vincenz",male,26,2,0
71,"Jenkin, Mr. Stephen Curnow",male,32,0,0
72,"Goodwin, Miss. Lillian Amy",female,16,5,2
73,"Hood, Mr. Ambrose Jr",male,21,0,0
74,"Chronopoulos, Mr. Apostolos",male,26,1,0
75,"Bing, Mr. Lee",male,32,0,0
76,"Moen, Mr. Sigurd Hansen",male,25,0,0
77,"Staneff, Mr. Ivan",male,,0,0
78,"Moutal, Mr. Rahamin Haim",male,,0,0
79,"Caldwell, Master. Alden Gates",male,0.83,0,2
80,"Dowdell, Miss. Elizabeth",female,30,0,0
81,"Waelens, Mr. Achille",male,22,0,0
82,"Sheerlinck, Mr. Jan Baptist",male,29,0,0
83,"McDermott, Miss. Brigdet Delia",female,,0,0
84,"Carrau, Mr. Francisco M",male,28,0,0
85,"Ilett, Miss. Bertha",female,17,0,0
86,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33,3,0
87,"Ford, Mr. William Neal",male,16,1,3
88,"Slocovski, Mr. Selman Francis",male,,0,0
89,"Fortune, Miss. Mabel Helen",female,23,3,2
90,"Celotti, Mr. Francesco",male,24,0,0
91,"Christmann, Mr. Emil",male,29,0,0
92,"Andreasson, Mr. Paul Edvin",male,20,0,0
93,"Chaffee, Mr. Herbert Fuller",male,46,1,0
94,"Dean, Mr. Bertram Frank",male,26,1,2
95,"Coxon, Mr. Daniel",male,59,0,0
96,"Shorney, Mr. Charles Joseph",male,,0,0
97,"Goldschmidt, Mr. George B",male,71,0,0
98,"Greenfield, Mr. William Bertram",male,23,0,1
99,"Doling, Mrs. John T (Ada Julia Bone)",female,34,0,1
100,"Kantor, Mr. Sinai",male,34,1,0
101,"Petranec, Miss. Matilda",female,28,0,0
